id,text,target,stance
3577a877fe2074e0,"@reajulislam3908 tora to abeg ar boshe desh dhongso korsos, tai valo manush ke valo none hoia na. Mashrafe ar moto valo manush hoia na. Ar amra toder moto ondho na. Amader nijeder chok kan sob ache. Konta valo konta kharap bujte problem hoia. Jeta toder moto munafik der nai",murtaza,FAVOR
a8409035f1bd59dd,😂😂 Masrafi murtaza r logo lagate holo.. Indian cricket e batsman & skill er etoi crisis naki..😂😂😂😂😂,murtaza,NEUTRAL
07753c637b1807d1,No. Mashrafe er kach theke studentder killing er bisoye protibad janano uchit chilo.,murtaza,AGAINST
dfd4fc35dad997ba,Mashrafe brother my pride my country pride my national team pride even my family pride i love you boss Mashrafe bin Murtaza,murtaza,FAVOR
a0ff47048141ce6d,Mashrafe is the best captain of Bangladesh❣️,murtaza,FAVOR
a233519ac6b43f5e,Mashrafe sathe onno karo tulona kora jabena......,murtaza,FAVOR
c4d55959f6507f28,Tumkea mon tehkea hate kori.Mashrafe vi nea kotha bolco,murtaza,FAVOR
34b6ec14e1c447d3,LOVE FOR MY FAVOURITE PLAYER... MASHRAFE BOSS❤️❤️❤️❤️❤️❤️❤️❤️,murtaza,FAVOR
a731e27c09e5268f,"onek kotha koisis, manlam. kintu mashrafe ke bashrafe likhlen keno?",murtaza,NEUTRAL
6a2c78dd6002196a,"Kotha bolar style r vasha dekhe ans deyar ruchi holona... Gonotontro er mani bujhen? Bongsho 10000 thakbe but gonotrantrik deshe bongsher dharay nirbachon hoyna, manush jake support dibe se e hobe tobe eta future er kotha bolsi ekhon er na... Arekta kotha মাশরাফি Not বাসরাফি arekta kotha, eta Tui kore e bolte holo Tui amr ei video te kono rajnitik dol er nam nite dekhsos? Kono dol er shunam gaite dekhsos? Kono dol er tor moto dalali korte dekhsos? Ami just mashrafe niye kotha bolsi, ans disi just mashrafe niye, tor moto kono dol er golami ami korina, ebar dure giya mod kha...",murtaza,NEUTRAL
4f87ae0093b9d11b,Ami mone kori mashrafe bhai k nia sera video aita........j atodin nijer ktha chinta na kore....family r ktha chinta na kore desher hoi lorce....aj se beiman.......ajob lage bhai ajob.....r thnx simon bhai k ato sundor kore bisoita tule dhorar jonno........ respect ma brother.............,murtaza,FAVOR
