id,text,target,stance
760046b46fc56fbd,"If not for Mushfiq, we would beat NewZealand, Mushfiq always costs us, actually he is the one who also screwed us against India in the last T20 world cup, where we lost by 1 run",mushfiq,AGAINST
1bc0ac44053534f3,"Mushfiq is the one who took you single handedly in the Final of Nidahas Trophy, He's the one who ensured our final of Asia cup 2012 beating India... He's the hero of many, if you can't support him in bad times, don't do so in good times also 🙏",mushfiq,FAVOR
a6605e84773978ee,Can you make a video on Mushfiqur Rahim?,mushfiq,NEUTRAL
8b0564b561584519,Many reasons mushfiqur do it and he not like virat yor Country player soo bad bf,mushfiq,AGAINST
e27cee3c32436c2d,Who is here after Mushfiqur Rahim’s 100th test match?,mushfiq,NEUTRAL
9bb5cdc1315af5e1,"I am watching it just an hour after Mushfiqur Rahim crossed the 5000 runs mark in Test cricket, playing against Srilanka in Chittagong, the first-ever Bangladeshi to achieve this feat, Ma shaa Allah, Al Hhamdulillah. From the commentary box, Athar Ali Khan recalled the memory of this occasion when Mushfiqur made his debut at Lords 17 years back in 2005, and right after the first defensive shot at the creaze Athar's fellow commentator David Lloyd had made some optimistic remark on this young chap.",mushfiq,FAVOR
812d42a7a551a3fc,"The Wisden cricketer, the cricketing Icon! The greatest wicketkeeper batsman of all time 👑 Mushfiqur Rahim.. The Legend 😃🇧🇩",mushfiq,FAVOR
5e57357628b5b912,Musfiq is the most abal player in the history of cricket.,mushfiq,FAVOR
ffe565c832dcb5fa,দুই জন কে নিয়ে ২টা আলাদা এপিসোড করলে ভালো হতো এই এপিসোডে মুশফিক কে তো কথাই বলতে দেয়া হয় নি,mushfiq,NEUTRAL
41f978cc776cbae2,Musfiqur is very unfiltered and good guy. But baki pandhob gulay shomosha create kore. Mushfiqur always out of this politics to include playing 11 etc.,mushfiq,FAVOR
b0d97fbc4ceb2e08,Did Mushfiq even get the opportunity to speak?!,mushfiq,NEUTRAL
5beafecbb380bd4a,Don't criticised the person. Musfiq he have a right to take diction his own. You are our brother. You have to thankful whole nation of Bangladesh. Best of luck Pakistan cricket team and Bangladesh cricket team.,mushfiq,FAVOR
f997556b5c7cb1a6,You don't have any player in Pakistan who can be like Mushfiqur Rahim i love Bangladesh,mushfiq,FAVOR
75009706226ecad8,"Mushfiqur Rahim, he is a good man, he did not go to play in Pakistan, he did not play your PCL, he did, they have security in their lives.",mushfiq,FAVOR
ea6415819891151f,mushfiqur rahim isn't a baccha.He is a real royal bengal tiger and also a hard working cricketer.There isn't a cricketer like moshfiqur rahim in Pak team.As a middle order batsman.,mushfiq,FAVOR
89495430259e5090,Musfiqur rahim is the official father of Pakistan Baap baap hota hay beta beta hota hay,mushfiq,FAVOR
b421fe57df45429a,Musfiqur Rahim didn't come because of his family problem. His family doesn't want him to play and he has also injury occurred in BPL.,mushfiq,FAVOR
f3b198ca9bf8fc71,Thats his(mushfiqur) personal opinion he'll go or not nothing to criticize.why those guys wasted time to criticize ? Biwi ne ghar se nikal diya kiya is liye frustated? Ya tto daaru pee ke kuch bhi boke ja rahe hai? Calm down bro,mushfiq,FAVOR
13c7da634c8e7236,"Tere pakistan Mein Koi hein 10000 international run wala, musfiqur rahim deserve to play team like India England Australia newzeland Afghanistan Zimbabwe!",mushfiq,FAVOR
d51bbda257581feb,তারা কখনো মানুষ ছিলিনা আর কখনো মানুষ হইবি ও না। তোরা কিভাবে মুশফিকুর রহিম কে নিয়ে এত বাজে বাজে মন্তব্য করতে পাড়লি। তুদের কোন প্লেয়ার এর মুশফিক এর নখ এর যোগ্যতা ও হবে না... 😠😠😠😠 وہ کبھی انسان نہیں رہے اور نہ کبھی انسان بنیں گے۔ آپ مشفیق الرحیم کے بارے میں اس طرح کا برا تبصرہ کیسے کرسکتے ہیں؟ مشفق کے ناخن آپ کے کسی بھی کھلاڑی کے لئے اہل نہیں ہوں گے,mushfiq,FAVOR
be4c618a3769a9c8,Show me one wicket keeper batsman like Mushfiqur in Pakistan history!,mushfiq,FAVOR
1aebc62a25cd6eea,It's the matter of Mushfiqur Rahim. You have any qualification to talk about him? just shut up.😠no love from 🇧🇩,mushfiq,FAVOR
698dad5166720c7d,কোকাকোলার বোতলের এখানে কী কাজ? মুশফিকের এটা সরানো উচিত ছিল।,mushfiq,AGAINST
3675c5c520cbede6,Jar mone kono rajniti nei. Sudhu ache Cricket er jonne onek valobasa. Salute Mushfiqur Rahim❤️,mushfiq,FAVOR
b86b879706630142,"Best wishes to you for achieving this unforgettable success, Mushfiqur Rahim.",mushfiq,FAVOR
97f76fc400decefd,মুশফিক ভাই তোমার অভিষেক টেস্ট ম্যাচ দেখেছিলাম আমার মনে আছে দেখে মনে হতো ছোট্ট ছেলে সেই থেকে তোমার সেঞ্চুরি করে উদযাপন ম্যাচ জিতিয়ে মাঠ ছাড়া কোনটাই মিস করি নাই । যেদিন তুমি খেলা ছেড়ে দেবে আমার মত পাগল ক্রিকেট ভক্ত মনে অনেক দুঃখ সুখের স্মৃতি নিয়ে বলবো ভালো থেকো মুশফিক ভাইয়েরা❤❤❤❤,mushfiq,FAVOR
d1ac92b8eaef6d7f,"১০০ টেষ্টে ১৮২ ইনিংস খেলে ১২ টা সেঞ্চুরি! হাস্যকর ব্যাপার! এত নিচু মানের খেলোয়াড় মুশফিকুর! ২৫-৩০ টি সেঞ্চুরি করে ভালো মানের প্লেয়াররা। আর মাত্র ২৭ টা হাফ সেঞ্চুরি। না পেরেছে হাফ সেঞ্চুরি করতে, না সেঞ্চুরি করতে। আর গড় টাও ওর বয়সের সমান, মাত্র ৩৮! ৪৫ গড়, ২৫ সেঞ্চুরি, ৪৫ হাফ সেঞ্চুরি করার কথা সেখানে কি একটা লজ্জাজনক নিম্নমানের ক্যারিয়ার!",mushfiq,AGAINST
5a2b5881857fa665,মুশফিক ভাই অনেক ভালো খেলোয়াড় এবং এতো লম্বা সময় ধরে যেভাবে ফিটনেস ধরে রেখেছে এটা অবিশ্বাস্য।,mushfiq,FAVOR
0231fc5a1628254b,মুশফিক Is a character who set a legacy that follow our others players.,mushfiq,FAVOR
5a78de509d1c4079,Mushfiq’s Personality like Ronaldo but likes Messi. Life is really strange.,mushfiq,NEUTRAL
e52d750bfffb2bc9,Its really surprising for me. Sayeed vai. Keep going. I requested to you that I really love Musfiqur Rahim vai at age of 10 or 11. And In sha Allah one day I want to meet him. Its my dream... Love him also I Follow him. ❤️,mushfiq,FAVOR
2195642002388ed5,​ @Simply.Sayeed মুশফিক ভাই তো আর্জেন্টিনা কিন্তু আপনি কোন দলের????,mushfiq,NEUTRAL
edfe9c1a62ac2b97,Musfiqur rahim is a legend of bpl 😊😊❤️,mushfiq,FAVOR
bf5884e1af41bb45,মুশফিক যতোই ভালো খেলুক না কেনো পাপন বাদ দিয়ে ছাড়বে মুশফিক সহ সকল সিনিয়রদের,mushfiq,FAVOR
6ade4192fdc9b591,মুশফিক ভাই দলে চাই পাপনের অবসর চাই,mushfiq,FAVOR
273d11486adbcd89,আগে মুশফিক ভাইয়ের মতো খেলোয়াড় তৈরি করেন 🥰পাপন কাকু😁 তার পর মুশফিক ভাইকে অবোসার নিতে বলেন,mushfiq,FAVOR
54cfd2ba82e4259a,পাপনকে টেষ্ট ক্রিকেটে মুশফিকের জায়গায় দেখতে চাই,mushfiq,FAVOR
6c32d738105cbfc3,মুশফিক নয় বরং পাপন বাবুকেই দায়িত্ব ছেড়ে দেওয়া উচিৎ কারণ ক্রিকেটটা পাপন নয় মুসি খেলে,mushfiq,FAVOR
5a9a7758d4a1303c,Ei test a 80+ enings khelte parle mushfiq Retired a jabe..,mushfiq,NEUTRAL
22f7fb94f873ec93,Mushfiq Rahim.. Aro 4 yr sob khelbe.. Vai k 3 pormet a cai,mushfiq,FAVOR
f8ec06bdb49fbd21,মুশফিক Sweep & Scoop Shot দিতে দিতে এবার দল থেকে বের হয়ে যাবে... Sure.,mushfiq,AGAINST
63f8ab46c95ee9c4,"ভাই মুশফিকও তো মানুষ আমার আপনার মত, তারো বয়স হয়, আর খেলাধুলায় বয়স অনেক অনেক বড় একটা ফ্যাক্টর । আর আমাদের এই উপমহাদেশের মানুষের ক্ষেত্রে খাদ্যাভ্যাস ও অপুষ্টির অভাবে বয়সের সাথে শারীরিক সামর্থ্য কমে আসে পশ্চিমা মানুষের থেকে অনেক দ্রুত । খুব কম ক্ষেত্রেই ব্যতিক্রম হয় । তাই আমরা তাকে নিয়ে বেশি আশা না করি, বরং তরুন যুবাদের প্রতি বেশি মনযোগ দেই ।",mushfiq,NEUTRAL
ab677073093931a5,Chorom report. 2020 er por koeta test holo? Corona kotodin chilo? Overall Bd er performance kemon chilo? Mushfiq nam shunlei 71 er ki ekta jani shuru hoye jae.,mushfiq,NEUTRAL
24c22c321fa46ae1,ও ক্রিকেটের ক জানেনা সে কিনা বলে মুশফিককে অবসর নিতে।ওনাকে প্রয়োজন বিসিবি থেকে অবসর নেয়া,mushfiq,FAVOR
d9fdc8eb0db7e1f8,সত্যি বলতে মুশফিক ভালো খেলতো এখন ভুল শট খেলে আউট হয়। আর যে খারাপ খেলে তাকে বাদ পড়তে হবে। মুশির চেয়ে ভালোরাও বাদ পড়েছে,mushfiq,AGAINST
f0b7748f16a9c0e2,Mushfiqur k niye etto kotha tular mane ta ki bujhlm naa!! 🙄 SA er odi te ei toh 80+ er ekta knock khelse...koyekta kharap match gese r abr troll shuru kre dichen!!,mushfiq,FAVOR
2c5bbda37475ad03,"This is Mushfiq we all know,one of the distructive innings I have ever seen",mushfiq,NEUTRAL
0a1b0c91cda02421,যারা মুশফিক কে নিয়ে কথা বলেছিলে তাদের জন্য। এই কামবেক টা। Well played musi💜🥀,mushfiq,FAVOR
c575ad13e6dcbda4,"মুশফিক ভাইয়ের সব কিছুই আছে, কিন্তু তার একটি জিনিস নাই ! আর সেইটা হলো অহংকার। মুশফিক ভাইয়ের কোনো অহংকার নাই....... আলহামদুলিল্লাহ 👍❤",mushfiq,NEUTRAL
90d9e3ee1ade9cf4,অনেক দিন পর মুশফিকুর রহিমের সেঞ্চুরি দেখে খুব ভালো লাগলো অভিনন্দন মুশফিকুর রহিমকে সেঞ্চুরি করার জন্য ❤❤❤,mushfiq,FAVOR
ccdd97d81ce1a970,আমাদের বগুড়ার ২টা বাঘের বাচ্চা আছে যেখানে সেখানে তো রান হবেই....Congratulations Mushfiqur Rahim ❤️❤️,mushfiq,NEUTRAL
a11fb5b41f64ebac,Mushfiqur rahim is a world class prayer no doubt about it,mushfiq,FAVOR
0903150cc566c90c,When Mushfiq came onto the crease Bangladesh was about 200 runs in 35 overs! Then they added 150 runs more in last 15 overs and 100 of those came from Mushfiq's bat! CARNAGE! ABSOLUTE CARNAGE!,mushfiq,NEUTRAL
74c49a598b59f546,I'm a big fan of Mushfiqur Rahim since 2010...,mushfiq,NEUTRAL
7aa3686ad8f26b8b,আলহামদুলিল্লাহ অনেক খুশি হলাম আজ Musfiq is one of the biggest player in Bangladesh,mushfiq,NEUTRAL
456538580679972f,Congratulations on the fastest 100 Mushfiq bhai A magnificent innings!!! 🔥✊❤❤❤❤,mushfiq,NEUTRAL
15353e538695c911,He is the gold of Bangladesh team. I think everyone understand that who is Musfiqur Rahim. My one of best favourite is Mr. Dependable.,mushfiq,FAVOR
34b8cae0c5f96e25,মুশফিকের এই শতক টা #আয়রন ম্যানদের জন্য উৎসর্গ করা উচিত,mushfiq,NEUTRAL
deea1549fa4ba17e,"Mushfiqur Rahim vai er osadharon innings in ODI, love and respect for him.❤❤❤",mushfiq,FAVOR
c0da96d9944f09a4,Musfiq is the best player o sobsomoi valo khele thanda buddhir player I like him very much,mushfiq,FAVOR
dea4c19709acbe2a,ছোট বেলাই ক্রিকেট খেলায় সবাই মুশফিক মুশফিক বলে ডাকতো। খুব প্রিয় একজন খেলোয়াড় মুশফিক ভাই🥰অনেক দিন পরে আবাও সেই পুরনো মুশফিক কে দেখতে পেলাম🥰 MR15 🥰🇧🇩,mushfiq,NEUTRAL
b62336563321da63,২০২৩সত্যি অনেক ভালো লাগছে আল্লাহর রহমতে মুশফিক ভাই এত সুন্দর ফর্মে ফিরেছি এজন্য,mushfiq,FAVOR
5b12d7dc136dc99c,he is a legend for Bangladesh Cricket.. love u Mushfiqur Rahim vai 💖♥💖♥💖♥,mushfiq,FAVOR
df4faf8f64dddfab,নানা মুশফিক এর এবার সসম্মানে বিদায় চাই,mushfiq,NEUTRAL
c6a99568b146b5c4,খুব ভালো লাগলো মুশফিক ভাইয়ের কাম্ব্যাক দেখে😍😍। বাংলাদেশের সাথে খেলা হলে মুশফিক ভাইকে নিয়ে সাবধানে থাকবো আমরা।,mushfiq,FAVOR
f10f461847dee047,congrats mushfiq for first fastest 100 as a Bangladeshi batsman. carry on this style and ruined all of criticism against you. best wishes.,mushfiq,FAVOR
f53825e2d6d0923f,Next mushfiq hoile Bangladesh taile agabe r koto?? Mushi theke valo hoite hobe,mushfiq,FAVOR
b54b874facc9f4eb,অমিত যদি মুশফিক হন তাহলে বাংলাদেশের ক্রিকেটের উন্নতি কোথায়???,mushfiq,NEUTRAL
d2c97baf111aff0f,আমি মুশফিকুর রহিম এর সাথে একমত নই?,mushfiq,NEUTRAL
5eb080fc0bcdcf8a,মুশফিকুর রহিম টেস্ট অধিনায়ক করা হলে ভালো হবে,mushfiq,FAVOR
738dcd42ca0e731c,টেস্ট অধিনায়ক হিসেবে মুশফিক বেস্ট ❤ এতটুকু সম্মান তো তার পাওয়া উচিত,mushfiq,FAVOR
712da81591290af8,মুশফিক ভাই কে টেস্ট অধিনায়ক করা হোক ভালো হবে,mushfiq,FAVOR
f3285b826cd4cf90,1. Zakir 2. Shadman 3. Shanto 4. Hridoy 5. Mushfiqur(c) 6. Litton (wk) 7. Miraz 8. Taskin 9. Hasan Mahmud 10. Taijul 11. Ebadat,mushfiq,AGAINST
1903b16c8debcf30,There is nothing above humanity you proved it Shahid Afridi bhai. You are a real hero with a big heart. I sincerely extend my gratitude for buying the historical cricket bat of Mushfiqur Rahim who scored double century with that bat. You bought it for a good cause.. Love from the heart of Bangladeh. May Allah give us the strength to overcome the pandemic. Thank you,mushfiq,FAVOR
73eed1e97b485c2c,Well played mushfiqur Bangla and congrats from India 🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳,mushfiq,FAVOR
36f719b8734e309c,Bangladesh played very well Musfiq behtreen innings yar congratulation Bangladesh Love from Pakistan 😘😘😘,mushfiq,FAVOR
b7b75a9bb5b0d91c,"Congrats Bangla and Great knock Mushfiq. Please do make a note, Bangla was playing India A team with no star players in Indian Cricket Team except Rohit Sharma and Dhawan..",mushfiq,FAVOR
2451ef5fb47311c2,Well played mushfiq and whole Bangladeshi team..,mushfiq,NEUTRAL
65199d8640e7acec,Shan was right at that time as time was being wasted. Although Mushfiq bhai batted brilliantly but logically shan was right to tell batting side about that matter. This was not a fight actually it was a precautionary measure to avoid time wastage.,mushfiq,FAVOR
8a75d8fa91072df6,কেনো জানি মুশফিককে অনেক বেশি ভালো লাগে। 💞💞💞💞,mushfiq,FAVOR
f6e87545bc9d76de,"গতকাল খেলার সময় একজন ধারাভাষ্যকার বলছিলেন , "" মুশফিক যখন ভারতের সাথে খেলে তখন তার স্ট্রাইক রেট ডাবল হয়ে যায় "" .....😊😍",mushfiq,NEUTRAL
2adc3eaf0ec469c8,10:08 faltu journalist . Celebration r kotha ask kortese . Faltu jottoshob . Ai celebration r karone india r kotha shunte hoi Bangladesh k & mushfiq k . Faltu .. celebration korbo amra normal crowd ra . Cricketer ra ki akhono Ireland Ba Scotland level r bacha team acha j match akta jitlei celebrate korbe ? Hok Bangladesh pura puri hoito big team na,mushfiq,NEUTRAL
6edb60b3b855883c,জি ভাই বাংলাদেশ ক্রিকেট মুশফিক ভাই কে আরো চাই,mushfiq,NEUTRAL
893b6f85c2a2c93c,it was not mushfiq day and that was the difference between win and loss of Bangladesh,mushfiq,NEUTRAL
4140a1c732b1cd57,"Rightly said mushfiqur Raheem is a good fellow, served bag for so long. Well played Bangladesh. Love from Pakistan",mushfiq,FAVOR
6a3b61c2993365b2,One mistake can't define The Great Mushfiqur. No matter we lost but you will always remain in our heart.,mushfiq,FAVOR
07c7ff3fa61e40a8,Mushfiqur Rahim is a good batsman & worse wicket keeper,mushfiq,NEUTRAL
7cf6a48e30998422,#অফ_টপিক #মুশফিক কে নিয়ে ট্রল করবেন না। সে দেশের জন্য নিজের সবটুকু দিয়ে খেলে।আপনি দেশের জন্য কি করেন যে তাকে নিয়ে বাঝে মন্তব্য করবেন। বাংলাদেশ ক্রিকেট টিম কে এ পর্যন্ত উন্নতি লাভ করতে মুশির অবদান অনেক। সে দেশের সর্বকালের সেরা উইকেট রক্ষক। খেলায় হার জিত আছে সেটা মনে রাখবেন । #ভালবাসা_অবিরাম_মুশি💝,mushfiq,FAVOR
413bf70eb17ffb5d,"If mushfiq wouldn't be miss that wicket so I Think Bangladesh won the match, even then Bangladesh well played against to NzL",mushfiq,NEUTRAL
b9afae08a86e0cf9,But it was a horrible mistake that could have been avoided... If a batsman get out to a poor bowl.. That's part of cricket... If the throw goes wide part of game of someone bowl 5 noballs.. Part of game... But not what mushfiq did.. It is very poor way of being behind the wicket... It's school boy stuff.. Unacceptable... If Bangladesh go out of last four after coming close thrn mushfiq is the one to be blamed... Definitely,mushfiq,AGAINST
cc78dfcc81afbc6c,"Bangladesh team should pick Liton Das as wicket keeper batsmen,drop mithun and let mushfiq play as specialist batsmen.",mushfiq,NEUTRAL
fa205e8df50003f3,Mushfiqur should be out of world cup,mushfiq,NEUTRAL
22b97070e2e58d76,"This little Mushfiqur is a very strange Player, looks like a spot fixer... Some of his great examples would be: A T20 WC, losing against India from a winning position This WC's run out incident He just keeps on doing 😊",mushfiq,FAVOR
3d36e65b102c57a4,অনেক ভাগ্য করে বাংলাদেশ টিম একটা মুশফিক পেয়েছে।,mushfiq,NEUTRAL
82e9c877f48836ea,মুশফিক ভাই এর সাথে আমিও মক্কা মদিনা যেতে চাই,mushfiq,NEUTRAL
e28a528cfaa02182,"woow, u guy's are really Gift of God . . . ha ha nice act Mushfique , Wish u a happy married Life Mushfiqur Rhim :)",mushfiq,NEUTRAL
bafc30b6ffb50587,musfiq vai u just a beauty...!! age jantam na.... !! :),mushfiq,NEUTRAL
3a1152a9f721797e,amar prio Musfiq bhai love u bhai,mushfiq,FAVOR
ba9d890e9dd52a78,He (mushfiqur) is the man who celebrates for india's losing in twitter. Again he's the man who dances in hindi song in his wedding. Wow..appreciate it.,mushfiq,NEUTRAL
99155b2d788b3672,Kono kiso somporke na jene comment koro name. Mushy 5.3 inche ar his wife 5.1 inche. So please be careful specifically about my legend Mushfiqur Rahim.,mushfiq,FAVOR
3c617cfd92afd899,"Sobai boro boro kota bole.. ekbar nijera mate giye prottekdin valo khele dekan tho.. valo kelle tar kub naam r karap kelle shee keltei janena.. manush emon ken.. j jai boluk mushfiq vaiya always best cilen, acen, takben..❤❤.. vaiyar kann deke amar o kanna pelo😭😭😭",mushfiq,FAVOR
a0f663cff7162b7b,আমরা চাই মুশফিক ভাই আবার ফিরে আসবে।,mushfiq,NEUTRAL
db2fc0d10b8f31fc,Mushfiqur Rahim vaiyer boro ekjon fan ami.sotti khub kosto pelam jokhon sunlam t20 theke obosor niyechi..😭😭😭😭😭 I love you Mushfiqur Rahim vai.khub miss korbo tomake.,mushfiq,FAVOR
b7a54f495a41ca05,দল এবং দেশের জন্য সেক্রিফাইস করা উচিত মুশফিকের ভালো সিদ্ধান্ত শুভকামনা রইল,mushfiq,FAVOR
