id,text,target,stance
62de6070064e0b6f,সর্বকালের সেরা ফিনিশার মাহমুদুল্লাহ রিয়াদ আলহামদুলিল্লাহ কামবেকটা দরকার ছিল,riyad,FAVOR
390bec45f57464f1,Well said riyad bhaiya..all the best for test series!,riyad,FAVOR
c667482c33098189,They not compire..the said riad is superior in wc performance compired verat.rohit and sekhor..,riyad,FAVOR
bdc7e1b25e0e500b,"একজন মানুষ এত বিনয়ী কেমনে হয়, মাহমুদউল্লাহ রিয়াদ ভাইকে না দেখলে বুঝা যায়না, আসলে ভদ্র মানুষ গুলোকে সবাই ডমিনেট করে, তারাই অত্যাচারের স্বীকার হয় সবার দ্বারা, তবে ধৈর্য মানুষকে অনেক কিছু দেয়, খেলার বাইরের রিয়াদ ভাইয়ের কোন হেটার নাই, এটাই উনার জীবনের সর্বোচ্চ অর্জন। Love you ভাই",riyad,FAVOR
aafefe4c02c48bc4,কেন জানি রিয়াদ যখন রিয়াদ হইনি সেই শুরু থেকেই উনাকে ভালো লাগতো।রেসপেক্ট ভাই।মানুষ হিসবে আমার চেয়ে অনেক ভালো। দোয়া রইল।,riyad,FAVOR
ae21a7d739328939,কোনো সন্দেহ নেই বাংলাদেশের সবচেয়ে ভদ্র খেলোয়াড়। সেলুড মাহমুদউল্লাহ রিয়াদ ভাই,riyad,FAVOR
34ada0e13f3ab548,Mahmudullah is my all-time favorite Bangladeshi cricketer. A true gentleman with a cool head. A class apart from other players. I can never forget all of his contributions for the betterment of Bangladeshi cricket.,riyad,FAVOR
4966d8e1535f0eb3,মাহমুদুল্লাহ রিয়াদ আমার প্রথম পছন্দের প্লেয়ার ছিল,riyad,FAVOR
8118d6fe95759c19,One of the best batsman to come out of Bangladesh. Salute riyad Bhai,riyad,FAVOR
c6e93b6db4ec7778,"রিয়াদ ভাই এখন ও আমি মনে করি টিমে যারা আছে তাদের থেকে আনেক আনেক ভালো খেলবে, সব সময় প্রিয় একজন ক্রিকেটার ও ব্যক্তি মাহমুদউল্লাহ রিয়াদ ভাই ভালোবাসি আপনাকে।",riyad,FAVOR
442b698b83943c86,❤️❤️ Are Mahmudullah vai sobar sera because tar abodan timer proti onek besi cilo 🇧🇩🇧🇩,riyad,FAVOR
c22841882915b3e5,প্রিয় মাহামুদুল্লাহ রিয়াদ ভাই কি সুন্দর ব্যাক্তিত কি সুন্দর কথা ভাইয়ের ভিতরে কোন অহংকার নেই এক কথায় বিউটিফুল,riyad,FAVOR
