id,text,target,stance
e488b4cbb1111eed,Love you very much you & Sakib.. from the core of 💓..,shakib,FAVOR
fb2ce33753061a34,Right point. We have to save SHAKIB.,shakib,FAVOR
96c40b3c1e13c552,Yes 100% ...ter mane ei na Shakib vlo Manus na....ai video te reporter er khother Sathe jei pic gula dekhaitece ter khub Ekta mill nai ...perle check Kore dekhte paren...,shakib,FAVOR
47431c3edd20a08b,Shakib aita bolte chainai. Chape er moke pore bolte hoise.,shakib,FAVOR
4b75f308202862cb,"🎯Shakib is a world class player but he have to respect his senior team mates. I'm a big Shakib's fan but he is just selfish and nowadays when he plays for BD team I didn't see that hunger to play for his country. We know he is a extraordinary player but that not means that he can do this kind of cheap things. You can see player like Messi, Virat🎯",shakib,AGAINST
f5993afa092ad5c9,shakib kharap khelle je aro koto match harto seta siseb kore dekhcen?,shakib,FAVOR
a242abeea97d6bf3,Shakib ter Best ta diye khele ..ar team jokhon vlo performance korte pare tokhon apnara bolen .. Shakib nijer jonno khele,shakib,FAVOR
0635e3de056a066b,@radwankhanrabby8231 sakib kii tr abba hoy naki?,shakib,AGAINST
75e53b3839c80b50,Shakib e best 👌 ..Shakib thik e bolsa love you Shakib 😍😍😍,shakib,FAVOR
9b28f92c8b6e0cdd,"There can be differences between the opinions of diverse groups or individuals. And we all should respect all the opinions. And Shakib definitely can have his own opinion. Most importantly Shakib is the most talented and experienced player we've ever had. So, we can't just vitiate his statement this way. I hope sensible people can comprehend the context",shakib,FAVOR
65af9a41ed22be48,সোজাসাপটা জবাব দেয় বলেই সাকিবকে এত ভালোবাসি🥰🥰 shakib is the king of bd cricket,shakib,FAVOR
ad077eb56765b7ab,Thik e bolse Shakib. I love all five but Shakib have to be the one !! No comparison.,shakib,FAVOR
a5346429f68a437a,Sakib thik e bolce...i support sakib al hasan,shakib,FAVOR
5ca821e6972638bc,Logically: Shakib 100% right But We are emotional Bangali bro Emotionally: Its 100% wrong 👀,shakib,NEUTRAL
e5b3d464bf3f321d,Sakib valo khellei se valo coach.... R haturi sing world cup nock out khelaiche...,shakib,NEUTRAL
2c0272e84db71dc8,Stive Rodhes Vlo coach eta ekmot sakib er sathe.,shakib,NEUTRAL
1f7a32f785c0a159,shakib ekta... baze moner luk jar mone onk higsha,shakib,AGAINST
a97c84b1c9c68da1,Sakib he ipl e namtei pare na.shea naki abar bishho sera all rounder.🤣🤣🤣🤣so funny .,shakib,AGAINST
c763dd6de3df7538,Amra sudu hingse kori. R sakib ra hingse korena. Onek vlo manus. Sudu taka r taka,shakib,NEUTRAL
f6aa7510c632c77c,World cup a kono unfit player rakha uchit noy. Tai sakib ke replace kora dorkar,shakib,AGAINST
33cfbff2dcef8984,Shakib ato boro boro ghotona ghotailo tar manushikota kmon ta 1 bar vabchen? Voktora opekkhay chilo valo 1 ta world cup er but personal ego er jonno shob noshto kore dilo je tar manushikota kmon,shakib,AGAINST
1ba7fd023382c5fd,"He Did Not Play In Nidhas Trophy, Shakib Was Captaining Them In Nidhas Trophy Where S-Sarkar Bowled In The Last Over",shakib,NEUTRAL
9b70d9d742b59810,"সাকিব এর কথা বলা উচিত আপনার সাকিব ও দলের জন্য অনেক কিছু করছে """"",shakib,FAVOR
46f6c930997d3352,Wanna see Shakib Al Hasan as well.,shakib,NEUTRAL
d43af93b1ab5afcc,"​ @arefinhossain9758 স্পষ্টভাবেে বোর্ডের বিশেষ করে সিলেক্টরদের সৎসাহস ছিল না। এখন সাধু,দার্শনিক সাজা প্লেয়াররা আগে একেকটা facsist ছিলো। সবচেয়ে বড়ো facsist ক্রিকেটের হাসিনা ছিলো সাকিব।সবাই যার চাটতো, এখনো তার চাটুকারেের অভাব নাই। যদিও সে abroad condition e সবচেয়ে ভালো ব্যাটার, তবুও সে africa, newzealand tour গুলোর part হতো না",shakib,AGAINST
38e7be7fa4a6ffbb,তাইজুল ওর বিড়ি সাপ্লাই দিত তাই খোটা দিল সাকিবের থেকে নাকি তাইজুল ১০ গুন বল ভালো করে 😂,shakib,AGAINST
b5168d1d9e5817a6,​ @rsbgaming326 so why do you always yell about cricketer shakib nowadays 😂😂😂,shakib,NEUTRAL
1a9f61d82d077077,​@nileshparmar3451 shakib is a good player but a terrible human being . He was an MP of the ousted govt. Of bangladesh which was enough for the people to turn against him,shakib,AGAINST
9589c5934cac2414,Do u know the records of Shakib.Or an average hater?,shakib,FAVOR
9cb08ad6f4e64da9,"আসবে ভাই সামিউল বাশির রাতুল,এই ছেলেটা খুবই প্রমিজিং, সাকিব না হলেও সাকিবের কাছাকাছি হওয়ার ক্ষমতা তার ভিতরে আমি দেখছি।আর সামিউলকেও নিজেকে তার প্রসেস ঠিক রাখতে হবে এবং হার্ড ওয়ার্ক চালিয়ে যেতে হবে খ্যাতির বিরম্ভনায় পরা যাবে না,যদি পরে যায় তাহলে কিছুই হবে না লীগেই তার ক্যারিয়ার শেষ হয়ে যাবে।দোয়া করি যেন এরকম না হয় আমরা যেন আরেক জন সাকিব রাতুলের মাধ্যমে পাই।",shakib,FAVOR
c43e91f418040cd6,শুধু বাংলাদেশে না পুরো ওয়ার্ল্ডে সাকিবের মতো খেলোয়াড় আরো আসবে কিনা সন্দেহ আছে কারন সে বাংলাদেশের মতো দলে থেকো এতো ধারাবাহিক পারফরম্যান্স করা খুবই কঠিন।,shakib,FAVOR
219c895033126c66,Shobar podcaste akta name common sheta holo Shakib Al Hasan...& shbai tar shomporke positive kotha bolse...etai proman kore shakib is best not only in playing but olso in others sector....or mentality shbaike inspire kore...,shakib,FAVOR
29011fd0d69e25a6,"sakib er out ta vul c lo,,,but sakib full tournament a ekta match a o valo khele ne,,,r baki batsman rai ba ki khelsay,,,,but bowler ra onek valo performance korsay ,,,batting ta jodi ekto valo korto taholay amra jittay partam",shakib,NEUTRAL
7ecf620a9484d170,শাকিবকে বোয়া আউট না দিলে বাংলাদেশ আজকের ম্যাচে জিততে পারত। শাকিব থাকলে বাংলাদেশ ১৫০ রান করতে পারত।Shakib al Hassan is the king in the World ❤️❤️❤️❤️❤️❤️💗💗💗💗🧡🧡🧡🧡💚💚💚💚💚,shakib,FAVOR
e63b1af850ebb984,@mdmanju6935 Shakib Al Hassan is the best all-rounder in the World,shakib,FAVOR
62b757e7a2f086c9,"Bats man ra ki potidin run paibo amon kuno kota ase ni,but shakib is best",shakib,FAVOR
cb276187d0a38b45,ভাই মনে হয় না। কেননা সাকিব কাজের সময় কিছুই করতে পারে না। এটা আপনিও জানেন আমরাও জানি। আর সে একা কি করবে?? কেননা তার সাথে খেলা ধরে রাখার মতো কেউই নেই।,shakib,AGAINST
9eb537085da4149b,I am Indian🇮🇳. Jodi cricket bodro lukeder khela tahole Sakib Al Hassan kivabe ckriket khelte pare. #Sakib ke kisu bodrota shikan ar Bolam na.,shakib,AGAINST
a9689889ec027d07,Sakib er na hoi vhua out dice tarpor ki korlo Bangladesh. 7over a 25run aitar hisab ami t20 milaite pRci nA,shakib,NEUTRAL
2419f67c78f0f943,sakib thakle ki hoito? borojor 5 ran korto,shakib,AGAINST
