id,text,target,stance
5e3364c2af546a86,Tamim team a nai kano! Honestly ans den tahole?,tamim,FAVOR
d35baf05a0e6219d,Tamim Iqbal the BCB rejected player in spite of being the greatest opener of bangladesh 🇧🇩,tamim,FAVOR
05e8124b3a2def0d,Tamim is proud of Bangladesh.He is dedicated player. We are happy about him . He will perform lot country. thanks M Uddin,tamim,FAVOR
69c32cceed8ecda3,Tamim Iqbal is all though a talented person.💙,tamim,FAVOR
0bbfe261d46fb5c6,You are talented #Tamim_Bro wish your good luck,tamim,FAVOR
ccda30e7721f7130,Tamim vai k amar khub valo lage. amar best player👌👌,tamim,FAVOR
46d422701a751c73,যারা খেলটা বুঝে তারা তামিমের বিপক্ষে যাওয়ার কোনো কারন দেখিনা সত্যি সবসময়ই তেতো সত্যি কথা বললেই তামিমের মতো লোকেরা খারাপ হয়ে যায় অনেকের কাছে।,tamim,FAVOR
3c88e86ba897c04a,Tamim OmIqbal forever... We Need Tamim in BCB board❤,tamim,FAVOR
22da32625d484f91,"তামিম বাংলাদেশের একজন অসাধারণ ক্রিকেটার ছিলেন, এবং একজন খেলোয়াড় হিসেবে তার অবদান সবসময়ই সম্মানের সাথে স্মরণ করা হবে। কিন্তু ক্রিকেট বোর্ড পরিচালনা করার জন্য প্রয়োজন আবেগ নিয়ন্ত্রণ, ধৈর্য এবং কৌশলগত চিন্তাভাবনা। সাম্প্রতিক কিছু আচরণ দেখে প্রশ্ন উঠছে—তিনি কি সত্যিই এমন একটি দায়িত্বপূর্ণ পদের জন্য প্রয়োজনীয় মানসিক স্থিরতা রাখেন? বাংলাদেশের ক্রিকেট এমন নেতৃত্ব প্রাপ্য, যারা চাপের মুহূর্তেও শান্ত থাকে এবং আবেগ নয়, বরং দীর্ঘমেয়াদী উন্নয়নের দিকে মনোযোগ দেয়।",tamim,AGAINST
c6ea11a5fba55af0,Tamim coming back on with a broken hand and then blocking a ball with his wrong hand was like watching a Tiger on the pitch,tamim,FAVOR
c9e6e8f20f6ab2f8,I always love you boss superstar leagint captain Tamim Iqbal khan he is all time the best 🏏🏏❤️🖤🥰🥰,tamim,FAVOR
a9f35d50f365a177,Childhood hero Tamim Iqbal is here! Wow❤ Love you Man 🫶 You deserve the BCB boss chair🤍,tamim,FAVOR
e1b7a9f614b5958d,Tamim the first love of bd cricket❤,tamim,FAVOR
00c92296f40aa32a,"Back to back test centuries against the Prime England Team, 40+ average in Asia cups, 4 back to back Asia cup fifties One of the top run scorers in Champions trophy 2017 despite not playing the final Highest average in SENA Countries for an Asian opener Highest Run scorer of 2016 WC Trailblazer in aggressive opening batting Tamim Iqbal was and is a legend of Bangladesh Cricket",tamim,FAVOR
1258d2eb2b13867b,I'm totally agree whatever Tamim said. Absolutely correct 👍 Love for both ❤❤❤ Enjoyed the whole podcast. Thanks for bringing them ❤,tamim,FAVOR
cb52ba30fe169a4e,আগস্টের ৩ তারিখ গণভবনে কি করছিলো তামিম ব্রো?,tamim,NEUTRAL
759fa20b572987e4,Bro Tamim in wrong side because manush Tamim boltei mone kore dalal. Are vai Tamim kar dalali korse?? Tamim could be a very good president who knows what will happen? Please don't judge someone or don't harass them,tamim,FAVOR
e8cca9cd9af2ac07,Sameer bro comment ta dekhle Tamim vai ke bolio se ekta fake bubble e ache. Manus asolei tar kaj karbar pochondo korteche na. Amr bissas se moner dik diye valo manus.,tamim,AGAINST
0322f74cbc198272,তুমি কিভাবে জানলে যে আগস্টের 3 তারিখ তামিম ইকবাল গণভবনে ছিল স্বৈরাচারের দালালি বন্ধ করো,tamim,AGAINST
09f6c463efb70e9f,কিছু দালাল আছে তারা তামিম ভাইয়ের কথা না বুঝে বাজে মন্তব্য শুরু করে,tamim,FAVOR
24782ce8a429bc53,"তামিম ইকবাল যদি বিসিবি সভাপতি হন, বাংলাদেশের ক্রিকেট অনেক উপকার পাবে। কারণ তিনি শুধু দেশের একজন সফল ক্রিকেটারই নন, আন্তর্জাতিক পর্যায়েও অত্যন্ত পরিচিত ও সম্মানিত একজন ব্যক্তি। বিশ্বের অনেক ক্রিকেট বোর্ড ও বড় বড় ক্রিকেটারের সাথে তার ভালো সম্পর্ক আছে, যা বাংলাদেশের ক্রিকেটের জন্য বিভিন্ন ক্ষেত্রে সহযোগিতা ও সুযোগ তৈরি করতে পারে। সবচেয়ে বড় বিষয় হলো, তিনি ভদ্র, মার্জিত এবং ক্রিকেটকে ভেতর থেকে বোঝেন। একজন সাবেক অধিনায়ক ও দীর্ঘদিনের আন্তর্জাতিক ক্রিকেটার হিসেবে মাঠের বাস্তব সমস্যা, খেলোয়াড়দের চাহিদা ও উন্নয়নের পথ তিনি ভালোভাবেই জানেন। তার চিন্তার পরিধিও বিস্তৃত, তাই তিনি চাইলে বাংলাদেশের ক্রিকেটকে আরও আধুনিক, পেশাদার ও শক্ত অবস্থানে নিয়ে যেতে পারবেন। যদিও জুয়ারিরা তাদের বাপের শক্রুর বিরোধিতা সব সময়ই করেই যাবে বাট এটা কোন ইস্যু নাহ।",tamim,FAVOR
c7a7954eaf6c0675,আমি মন থেকে এখন চাই তামিম ভাই বোর্ডে আসুক তাহলে এতো নোংরা কাজ হবেনা এটা আমার বিশ্বাস ❤,tamim,FAVOR
397eba6074dbbdd1,এই অনুষ্ঠানের তামিম ইকবাল খানকে না আনলেও পারতেন !!!,tamim,AGAINST
d9b85c79f2aa8374,"Tamim is a dalal. His whole family is involved in BCB they are just milking BCB money. Incompetent, power hunger and unprofessional.",tamim,AGAINST
1b6b32dec0c44c9a,"আপনার বাবা তামিমের দালালি আপনি বুঝেন না, তাই কাকে দালাল বলে আপনি সেটাও জানেন না। তামিম কি আপনার বাপ নাকি 🙄",tamim,FAVOR
46c4aeed907a7a3f,Most run scorer of Bangladesh I remember that hundreds test match of Bangladesh where tamim Iqbal played a great knock Love u tamim,tamim,FAVOR
f8f2e769816d5784,তামিম কি ভারতের এজেন্টের দায়িত্ব নিলো কবে ?,tamim,AGAINST
3ae3a41474316a5c,"তামিম ভাই হয়তো ভুলে গেছে, ক্রিকেট আগে?না, দেশ আগে? দেশ হওয়ার পরই ক্রিকেট আসছে, অতএব আগে দেশের সম্মান,তারপর ক্রিকেট",tamim,AGAINST
917fb0ec04824304,আমরা মনে করি না যে বিসিবি তামিমের মত মতামতের প্রয়োজন আছে বিসিবি যে সিদ্ধান্ত নেবে সেটাই ফাইনাল সিদ্ধান্ত,tamim,AGAINST
26272c71934735ba,এইখানে যারা কমেন্ট করছেন সবকিছু বুঝে কি কমেন্ট করছেন। ভাই এই দেশে যেই সরকার আসুক না কেনো অনেক ক্ষেত্রে ইন্ডিয়ার সাথে আপস করে চলতে হবে আপনি মানেন আর না মানেন কিন্তু এটাই বাস্তবতা। তাই তামিম ভাই ঠিক এ বলেছেন সবার আগে ক্রিকেট এর চিন্তা করতে হবে।,tamim,FAVOR
10ec39d561031952,তামিম ভাই খারাপ তো কিছু বলে নাই শুধু বলেছে ভেবে চিন্তে সিদ্ধান্ত নেওয়ার জন্য,tamim,FAVOR
0e867016376f2e4a,"ভারতকে তোষামোদ করে করেই এই তামিম রা এতো সাহস দিছে বাংলাদেশ কে অপমান করার, ইন্ডিয়ার মতো কান্ট্রি",tamim,AGAINST
3d737c0dcbc8241e,"যদি ভারতে খেলতে যায় আর ভারতের উগ্রবাদী হিন্দুরা কটাক্ক করে গালি দেয় বা টিম বাসে জোতা ইট পাটকেল নিক্ষেপ করে এটার দায়বার আপনে তামিম ইকবাল নিবেন, আর তারা করবে এটা নিশ্চত কারন উগ্রবাদী",tamim,AGAINST
eb7f50dbaff36504,তামিমের মতো খেলোয়াড়রা যদি বিসিবির কোনো দায়িত্ব পায় তাহলে বাংলাদেশের ক্রিকেটের ভবিষ্যৎ খারাপ। ও খালি ইন্ডিয়াকে তেল দিয়ে বেড়াতে চায়! ফালতু,tamim,AGAINST
9931050fe4264474,"I used to be a big fan of Tamim Iqbal. But, now it sounds like Tamim is a big “Dalal” of India. Tamim did not participated World Cup for changing his batting position, which gave pain to his so called “EGO.” Now, he is doing news conference to do Dalali for India. Shame on you Tamim. Do not think if BNP come to power and make you BCB president that easily.",tamim,AGAINST
ebaf033adae53284,যেকোনো সমস্যা আলোচনার মাধ্যমেই সমাধান করাটাই উত্তম। তাছাড়া ক্রিকেটের জন্য ক্ষতিকর হবে এমন পরিবেশ তৈরি না করাই উচিত। দুই দেশ সরাসরি আলোচনায় বসা উচিত। আমি তামিম ইকবালের সঙ্গে সহমত পোষণ করি।,tamim,FAVOR
fe5d2786e604528c,"Even as a diehard Tamim fan, I can not defend Tamim's childish remark especially, at this critical time. He has now brought himself down from the sky to the ground. So sad! Bangladesh comes first no matter what.",tamim,AGAINST
55183eccbe9c6e76,আমি একটা গরু বিক্রি করার জন্য দালাল খুজতেছি যদি তামিম কে পাই সেটা অনেক ভালো হবে।,tamim,AGAINST
cc3a5f31682f2283,সঠিক। তামিম ইকবাল একজন ভালো মানের দালাল,tamim,AGAINST
733c52e21d78dd3f,আওয়ামী লীগের ও ভারতের দালাল😅 আপা যে নাই তা ভাইয়া ভুলে গেছে😅 খালি স্বৈরাচারীদের মত ভয় দেখায়। সবাই তামিমকে নতুন করে চিনলো।,tamim,AGAINST
2de82757e3e0b34b,"শুধু তামিম, সাথে উস্কানিদদতা নোমান! এদের পাবনায় নেওয়া হোক,টাকা লাগলে আমি দিব!",tamim,AGAINST
44994dce4e8b4501,No backlash here in BD. 90% of people are okay forfeiting the WC. Tamim talked about cricketers' salaries.,tamim,NEUTRAL
e293cdfdc6f1c406,"Tamim is facing backlash 😂 Not BCB, You hypocrites😂",tamim,NEUTRAL
40c8ae9c25b2b0d8,তামিম ইকবালকে বিসিবির সভাপতি পদে দেখতে চাই ✊✊✊❤❤❤,tamim,FAVOR
4b52f055087c13b7,আমার প্রিয় খেলোয়ার ছিল তামিম কিন্তু তার কথার জন্য তাকে বয়কট করা হোক,tamim,AGAINST
3157a2cdb5be0e72,"ছাত্র উপদেষ্টা আসিফ মাহমুদ একটা ভালো কাজ করে গেছে,তামিমকে বিসিবিতে না বসিয়ে বুলবুল কে বসিয়েছে। ❤️ল",tamim,AGAINST
657c3ffab9bb182b,তামিম একজন সাধারণ জনগণ এখন সে ক্রিকেটের সাথে জড়িত না ভাবতে হবে মুস্তাফিজ এখনো দেশের গর্ব দেশের হয়ে ক্রিকেট খেলছে তাছাড়া এখানে দেশের সম্মান আগে আগে ক্রিকেট নয় পৃথিবীতে 200 এর উপরে দেশ আছে কয়টা দেশ ক্রিকেট খেলে বাকি যারা খেলে না তাদের কি কোন সমস্যা হচ্ছে এই ক্রিকেট খেলার জন্য ইন্ডিয়ার কাছে আমরা আমাদের মাথা বিক্রি করতে পারিনা,tamim,AGAINST
a16eb104a4762cdb,"৩০ বছর ধরে ক্রিকেট খেলে ১০০ বছরে ১টা এশিয়া কাপও এনে দিতে পারবেনা এই তৈলাক্ত খেলোয়াড়েরা। মূল সমস্যা হলো আমাকে ভুলবেন না তামিম, বোর্ড সভাপতি হতে চায়। তাই সব জায়গায় নাক গলায়।",tamim,AGAINST
0084a59bd3ff4c7e,We don't need money. We need honor. If Tamim s need money pls Send to me I donned him,tamim,AGAINST
c44b27be429dbf8e,যারা তামিমের সাথে সুর মিলায় তাদের কেউ ভারতে পাঠিয়ে দেওয়া উচিত,tamim,AGAINST
53a0d65c383586d2,বাংলাদেশ ক্রিকেটে এমন কিছু হয়ে ওঠে না যে তারা সরকারে কথা অমান্য করবে। পরিচালক সাহেব সঠিক কথাই বলছে তামিমি ভারতের দালাল সে রাষ্ট্রের কথা অমান্য করছে রাষ্ট্র যে সিদ্ধান্ত নিবে সেটাই মেনে নিতে হবে।,tamim,AGAINST
e93657353f63fc9c,"মুস্তাফিজ ইস্যুতে সবাই নীরব থাকলেও তামিম ইস্যুতে সবাই সরব,কারন টা কি?",tamim,NEUTRAL
3905f41a5196d326,"যারা তামিমের পক্ষে কথা বলেছে, তামিমকে অধিনায়ক বানিয়ে তাদেরকে আওয়ামী দল বানিয়ে ভারতে পাঠানো হোক। আর বাকিরা বাংলাদেশ দলে থেকে বিশ্বকাপ ক্রিকেটে অংশ গ্রহণ করবে ভিন্ন ভেন্যুতে",tamim,AGAINST
59fb119983bafea1,তাইলে কোথায় খেলতে গেলে ভালো হবে না হবে এটার দায়িত্ব তামিমকে কে দিছে,tamim,AGAINST
d61a6e1e5056e6f0,এখন খেলার ভূতরে কে কে দালাল আছে চিনতে হবে এক এক করে সামনে আইতাছে দালাল তারা তামিম ইকবাল ভারতের দালাল এজেন্ট,tamim,AGAINST
1c793c12a16fb91e,"দেশের সন্মান না দেখে তামিম ইকবাল ভারতের দালালি করেছে, তামিম কে খমা চাওয়া দরকার সবার সামনে,।",tamim,AGAINST
b46faadcfc76a6b7,অফকোর্স তামিম ইকবাল হিন্দুস্তানের পক্ষে যেটা বলেছেন রয়ের দালাল হয়ে তিনি বাংলাদেশেরক সম্মান মর্যাদা টাকার কাছে বিলিয়ে দিয়ে সরাসরি বাংলাদেশ অসম্মান করা হয়েছে সরকার তার বিরুদ্ধে কি পদক্ষেপ নিয়েছে এটা আমরা দেখতে চাই,tamim,AGAINST
ca9846f1d1b6a779,একে একে সব দালালদের মুখোশ খুলে যাচ্ছে আলহামদুলিল্লাহ। যেসব খেলোয়াড় তামিমের পক্ষ ইয়ে কথা বলতেছে যাদের ইন্ডিয়া গিয়ে খেলার আগ্রহ জাগতে আছে তাদেরকে উত্তেজনা বাংলাদেশ টিম থেকে চিরতরে বাদ দেওয়া দরকার,tamim,AGAINST
